query,message_ids,num_hits,stats,best_match_title,best_match_score,hits
Нияз Алсынбаев Серле мосафир 5 се тапшырыу,494,0,0 results found,,0.0,
Нияз Алсынбаев Серле мосафир 4 се тапшырыу,493,0,0 results found,,0.0,
Нияз Алсынбаев Серле мосафир 3 сө тапшырыу,492,0,0 results found,,0.0,
Нияз Алсынбаев Серле мосафир 2 се тапшырыу,491,0,0 results found,,0.0,
Нияз Алсынбаев Серле мосафир 1 се тапшырыу,490,0,0 results found,,0.0,
Тәнзилә Дәүләтбирҙина Зөһрәкәй 2 се тапшырыу,489,0,0 results found,,0.0,
Тәнзилә Дәүләтбирҙина Зөһрәкәй 1 се тапшырыу,488,0,0 results found,,0.0,
Динис Бүләков Йәшен атҡан имән Әхәт Мортазин,487,0,0 results found,,0.0,
Динис Бүләков Асыҡ ишек Әхәт Мортазин,486,0,0 results found,,0.0,
Аҡҡош ауазы Сәлимйән Бәҙретдинов 2 се тапшырыу,485,0,0 results found,,0.0,
Аҡҡош ауазы Сәлимйән Бәҙретдинов 1 се тапшырыу,484,0,0 results found,,0.0,
Фәриҙә Ситдиҡова Хыялдағы атай,482;481,0,0 results found,,0.0,
Фәниҙә Исхаҡова Хөкөмсеһе кем Рәмилә Сәлимгәрәева,480,0,0 results found,,0.0,
"Таһир Таһиров Портрет, 1,2 се бүлектәр Олег Ханов, Заһир Вәлитов",479,0,0 results found,,0.0,
Мөхтәр Сәғитов Ғүмерлеккә ҡалған яра Әхәт Мортазин,478,0,0 results found,,0.0,
Илшат Йомағолов,477,0,0 results found,,0.0,
Динис Бүләков Ат күҙендәге ҡояш Әхәт Мортазин,476,0,0 results found,,0.0,
Зөбәржәт Йәнбирҙина Хирург Миңзәлә Хәйруллина,475,0,0 results found,,0.0,
Булат Рафиҡов Йылғаларым ҡайтты ярҙарына Илшат Йомағолов,474,0,0 results found,,0.0,
"Марс Әхмәтшин Ни эшләнең һин, Инсаф Марат Рафиҡов",473,0,0 results found,,0.0,
Евгений Пермяк Әсәй һәм беҙ Мәхмүт Хәбибуллин,472,0,0 results found,,0.0,
"Башҡорт радиокомпозициялар Көҙгө элегия, радиокомпозиция Илшат Йомағолов",471,0,0 results found,,0.0,
"Әсхәт Мортазин Муйылдар Хәкимйән Сәғитов, Гүзәл Сәғитова, Фирҙәт",470;250,0,0 results found,,0.0,
Финә Латыпова Зәхмәтле донъя Миңзәлә Хәйруллина,467,0,0 results found,,0.0,
"Таңһылыу Ғәйнуллина Ғәфү ит, әсәй Миңзәлә Хәйруллина",466,0,0 results found,,0.0,
Тамара Ғәниева Никах Зилә Дибаева,465,0,0 results found,,0.0,
Тайфур Сәғитов Сиң Әхәт Мортазин,464,0,0 results found,,0.0,
Рөстәм Зарипов Төрмәләге уйланыуҙар Лира Фәйзуллина,463,0,0 results found,,0.0,
"Беҙ үлемдән көслөрәк Жәүит Кузеев, Вәли Бикт Тексты Әхәт Мортазин",461;107,0,0 results found,,0.0,
Әмир Ҡотлозаманов Тимерсе Фәйзи Фирҙәт Ғәлиев,460,0,0 results found,,0.0,
Башҡорт радиокомпозициялар Ҡышҡы ауыл Карам Бакировтың шиғырҙары,459,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Мин тынлыҡты тыңланым Артистар Альберт Шәйхетдинов,458,0,0 results found,,0.0,
Талха Ғиниәтуллин Хоҙайбирҙиндың ҡайтыуы Әхтәм Абушахманов,457,0,0 results found,,0.0,
Рәмил Байбулатов Бер матур иртәлә Хәким Хәйретдинов,456,0,0 results found,,0.0,
Рамазан Ҡотошев Муксен Хәмит Яруллин,455,0,0 results found,,0.0,
Наил Ғәйетбаев Хәмит тау Илшат Йомағолов,454,0,0 results found,,0.0,
Ғәлим Дәүләтов Башҡортса аудиокитаптар төркө Атайым аҡ йондоҙом,453,0,0 results found,,0.0,
Гыйлемдәр Рамазанов Бер ус тупраҡ Фәтих Ихсанов,452,0,0 results found,,0.0,
"Вәзих Исхаҡов Хәстәрлек, Әмәле табылды Фаяз Солтанов",451,0,0 results found,,0.0,
Әнисә Таһирова Арҡайым фәрештәһе Әхәт Мортазин,450,0,0 results found,,0.0,
Азамат Ҡәҙерғолов Илек бүләге Әхтәм Абушахманов,449;146,0,0 results found,,0.0,
"Ашҡаҙар радиоһы Мөхтәр Сабитов Тәүге эш хаҡы, Фаяз Солтанов",448,0,0 results found,,0.0,
Әнүр Ғибәҙәтов Шаҡай Фирҙәт Ғәлиев,447,0,0 results found,,0.0,
"Михаил Шолохов Баҡсасы Мансур Әйүпов тәржемәһе, Илшат Йомағолов",446,0,0 results found,,0.0,
Рәшит Солтангәрәев Ҡотҡарыусы Хәмит Яруллин,445,0,0 results found,,0.0,
Ринат Камал Бейек йондоҙҙар Әхәт Мортазин,444,0,0 results found,,0.0,
Талха Ғиниәтуллин Тынғылыҡ бирмәҫ хәтер Әхтәм Абушахманов,443,0,0 results found,,0.0,
Андрей Упит Йәш торна Рифҡәт Фәйзи,442,0,0 results found,,0.0,
Әхмәр Үтәбай Тарауыл Әхтәм Әбүшахманов,441,0,0 results found,,0.0,
Ғәйфулла Вәлиев Аҫтыртын йылмайыу Зәйни Иғдәүләтов,440,0,0 results found,,0.0,
Ғәлим Дәүләди Беренсе оҙатыу Әхмәт Яҡупов,439,0,0 results found,,0.0,
Ғәлим Дәүләтов Атайым аҡ йондоҙом Фирҙәт Ғәлиев,438,0,0 results found,,0.0,
Карам Бакиров Ике дуҫ Сафура Аҫылбаева,437,0,0 results found,,0.0,
Мәүлет Ямалетдинов Һуңғы тартай Хәмит Яруллин,436,0,0 results found,,0.0,
Олег Ханов,435,0,0 results found,,0.0,
Роберт Байымов Командировка Олег Ханов,434,0,0 results found,,0.0,
Сыңғыҙ Айтматов Беренсе уҡытыусы Роза Кәримова,433,0,0 results found,,0.0,
Суфиян Поварисов Алтынайҙың аҡ аҡылы Хәмит Яруллин,432;57,0,0 results found,,0.0,
Рәшит Солтангәрәев ЯЗА Олег Ханов,431,0,0 results found,,0.0,
"Ноғман Мусин Китмә, китмә, һандуғас Олег Ханов менән Светлана Хәкимова",430,0,0 results found,,0.0,
Камил Йыһаншин Ялбыр Хөрмәт Үтәшев,429,0,0 results found,,0.0,
Тамара Ғәниева Йәрәшеү Зилә Дибаева,428,0,0 results found,,0.0,
Фәрүәз Урманшин,427;254;87,0,0 results found,,0.0,
"Илдар Ғүмәров, Зилә Дибаева",426,0,0 results found,,0.0,
Барый Ноғоманов Бураҙналар Марат Рафиҡов,425,0,0 results found,,0.0,
Рәмзиә Хисамова,424;271,0,0 results found,,0.0,
Сабир Шәрипов Яр буйында уйланыу,423,0,0 results found,,0.0,
Рәшит Солтангәрәев Ҡылынмаған гонаһ Хәмит Яруллин,422,0,0 results found,,0.0,
Туй көнөндә,421,0,0 results found,,0.0,
"Радио фондынан Ярулла Вәлиев Хәйерле иртә, Исмәғил!",420,0,0 results found,,0.0,
Зилә Дибаева,419,0,0 results found,,0.0,
Вадим Ҡылысов,418;360,0,0 results found,,0.0,
Автор,417;416,20,289 results found in 1ms,Башҡорттар тарихы (автор ҡулъяҙмаһынан тәржемә,0.196,"Башҡорттар тарихы (автор ҡулъяҙмаһынан тәржемә — Әхмәтзәки Вәлиди Туған (https://kitaptar.bashkort.org/book/761) | Ахметов Вилюр Ямилевич. Автореф. кандид. экономич. н. - Уфа.2003 — Ахметов Вилюр Ямилевич (https://kitaptar.bashkort.org/book/5107) | Закир Һаҙи. Һайланма әҫәрҙәр / Автор-төҙөүсе Г. X. Абдрафикова (Ғарипова). Өфө: Матбуғат донъяһы (Мир печати), 2018. 176 б.: фот., факсимиле. — Г. X. Абдрафикова (Ғарипова) (https://kitaptar.bashkort.org/book/5123) | Башкирско-русский словарь лексики родинного обряда. Автор-составитель Г.Р. Батыршина. − Уфа, 2008. − 56 стр. — Г.Р. Батыршина (https://kitaptar.bashkort.org/book/5163) | Гревингхольт Йорн. Республика Башкортостан: Через государственный суверенитет к авторитарному режиму / Авторизованный перевод с немецкого Р.Р.Николаевой. Науч. ред. И.В.Кучумов; Послесловие И.М.Габдрафикова, 1999. — И.В.Кучумов, И.М.Габдрафиков, Гревингхольт Йорн (https://kitaptar.bashkort.org/book/5248) | Эткинд А. Внутренняя колонизация. Имперский опыт России / Александр Эткинд; авториз. пер. с англ. В. Макарова. — М.: Новое литературное обозрение, 2013. — 448 с.: ил. — Эткинд А. (https://kitaptar.bashkort.org/book/5131) | Историко-этимологический словарь башкирского языка. - Первый выпуск. Корнеслова с гласными инициалями/Автор-составитель Т.М. Гарипов. - Уфа: Издательство БГПУ, 2007. - 140 с. — Т.М. Гарипов (https://kitaptar.bashkort.org/book/5145) | Башҡорт теле: Урыҫ мәктәптәренең 9 синыфында уҡыған башҡорт балалары өсөн башҡорт теле һәм әҙәбиәте дәреслеге. — Үҙгәрешле 2-се баҫмаһы. — Неизвестный автор (https://kitaptar.bashkort.org/book/619) | Башланмыш (Книга бытия на башкирском языке) — Неизвестный автор (https://kitaptar.bashkort.org/book/36) | Курганские башкиры. - Уфа, Гилем, 2004 — коллектив авторов (https://kitaptar.bashkort.org/book/5043) | Cемья и семейные ценности в современном мире — Разные авторы (https://kitaptar.bashkort.org/book/5006) | Оҙон-оҙаҡ бала саҡ — Мостай Карим (https://kitaptar.bashkort.org/book/418) | Һүнмәһенсе һөйөү усағы. — Хасанов М. А. (https://kitaptar.bashkort.org/book/1409) | Башҡорттар китте һуғышҡа... — Хамматов Яныбай (https://kitaptar.bashkort.org/book/351) | Откуда ты родом,Матросов? Уфа.1994 — Гөлсинә Йосопова (https://kitaptar.bashkort.org/book/1540) | Мөхәммәтсәлим Өмөтбаев — Хөсәйенов Ғайса (https://kitaptar.bashkort.org/book/33) | Донъясыгым: шиғырҙар — Һ. Ғабидов Н. Таһиров У. Хангилдин Ғ Уилданов (https://kitaptar.bashkort.org/book/919) | Башкирия и башкирские войска в Гражданскую войну — Муртазин Муса Лутович (https://kitaptar.bashkort.org/book/479) | Империя степей. Аттила, Чингиз-хан, Тамерлан — Мәүлит Ямалетдин (https://kitaptar.bashkort.org/book/885) | Ҡаһармандар юлынан. Өфө.1992 — Төпәев С. X. (https://kitaptar.bashkort.org/book/1582)"
Мөхтәр Сәғитов Томанлы иртә ине Айсыуаҡ Йомағолов менән Рәмзиә Хисамова,415,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Юғалған Зөһрә ҡыҙ Миңзәлә Хәйруллина,414,0,0 results found,,0.0,
"Гөлсирә Ғиззәтуллина Яратам, тип әйтеп өлгөрмәнем 3 сө тапшырыу",413,0,0 results found,,0.0,
"Гөлсирә Ғиззәтуллина Яратам, тип әйтеп өлгөрмәнем 4 се тапшырыу",412,0,0 results found,,0.0,
"Гөлсирә Ғиззәтуллина Яратам, тип әйтеп өлгөрмәнем 1 се тапшырыу",411,0,0 results found,,0.0,
Тимерғәле Килмөхәмәтов Турайғыр Фаяз Солтанов,410,0,0 results found,,0.0,
"Гөлсирә Ғиззәтуллина Яратам, тип әйтеп өлгөрмәнем 2 се тапшырыу",409,0,0 results found,,0.0,
Мөнир Ҡунафин Соҡор 3 сө тапшырыу,408,0,0 results found,,0.0,
Мөнир Ҡунафин Соҡор 2 се тапшырыу,407,0,0 results found,,0.0,
Мөнир Ҡунафин Соҡор 1 се тапшырыу,406,0,0 results found,,0.0,
"Мостай Кәрим Мөғжизәләр, Иблес йомошсоһо Әхтәм Абушахманов",405,0,0 results found,,0.0,
Мостай Кәрим Ҡарғалар хөкөмө Нурия Ирсаева,404,0,0 results found,,0.0,
Мостай Кәрим Йыл миҙгелдәре Олег Ханов,403,0,0 results found,,0.0,
Мирас Иҙелбаев Йыр дәресе Зилә Дибаева,402;372,0,0 results found,,0.0,
"Елена Коненко Летчик ҡатыны Нурия Ирсаева, Олег Ханов, Зәйни Иғдәүләтов",401,0,0 results found,,0.0,
Гөлли Мөбәрәкова Айбикә повесы Һәҙиә Дәүләтшина,400,0,0 results found,,0.0,
"Әмир Әминев Ҡорт, 1 2 бүлектәр Фирҙәт Ғәлиев",399,0,0 results found,,0.0,
Ғәлим Хисамов Ҡасыу Хөрмәт Үтәшев,394;154,0,0 results found,,0.0,
Зәйнәб Биишева Оло Эйек буйында Марат Рафиҡов,393,0,0 results found,,0.0,
"Миләүшә Ғәйфуллина Тәмләнде , юмореска Алһыу Бәхтиева",392,0,0 results found,,0.0,
Рәшит Солтангәрәйев Көҙ Олег Ханов,391,0,0 results found,,0.0,
Роберт Байымов Хазина Заһир Вәлитов,390;377,0,0 results found,,0.0,
Тәскирә Даянова Мөғжизәгә ышанам Алһыу Бәхтиева,389,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 1 се бүлек Әмир Абдразаҡов",388,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 2 се бүлек Әмир Абдразаҡов",387,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 3 се бүлек Әмир Абдразаҡов",386,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 4 се бүлек Әмир Абдразаҡов",385,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 5 се бүлек Әмир Абдразаҡов",384,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 6 се бүлек Әмир Абдразаҡов",383,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 7 се бүлек Әмир Абдразаҡов",382,0,0 results found,,0.0,
"Ҡол Ғәли Йософ ҡиссаһы, 8 се бүлек Әмир Абдразаҡов",381,0,0 results found,,0.0,
Илгизәр Бураҡаев Башҡорт көсө Әхәт Мортазин,378,0,0 results found,,0.0,
Зарема Әхмәтйәнова Сәңгелдәк повесы 1 се өлөш Светлана Хәкимова,375,0,0 results found,,0.0,
Зарема Әхмәтйәнова Сәңгелдәк повесы 2 се өлөш Светлана Хәкимова,374,0,0 results found,,0.0,
Зарема Әхмәтйәнова Сәңгелдәк повесы 3 сө өлөш Светлана Хәкимова,373,0,0 results found,,0.0,
Нажиә Игеҙйәнова Көндәш Рәмилә Сәлимгәрәева,371,0,0 results found,,0.0,
Башҡорт халыҡ эпосы Урал Батыр,370;369;368;367;366;365;364,2,2 results found in 1ms,Урал батыр. Башҡорт халыҡ эпосы буйынса,0.638,"Урал батыр. Башҡорт халыҡ эпосы буйынса — Ризаитдин Фәхретдинов (https://kitaptar.bashkort.org/book/822) | Башҡорт халыҡ ижады. Өсөнсө том. Эпос. — Өфө: Башҡортостан «Китап» нәшриәте, 1998. — 448 бит. — Ахмет Сулейманов, Кадим Аралбаев, Рауил Бикбаев, Наиль Бикбулатов, Салават Галин, Нур Зарипов, Фануза Надршина, Зиннур Ураксин, Сабир Шарипов, Гайса Хусаинов (https://kitaptar.bashkort.org/book/5254)"
Дилә Булгакова Майпәрүәз Илсөйәр Ғәзетдинова,363,0,0 results found,,0.0,
З Исмәғилев ис Өфө дәүләт сәнғәт институты ст Көн һәм быуат Әҙәби,362,0,0 results found,,0.0,
"Талха Ғиниәтуллин Мәтрүшкә еҫе Әмир Әминев тәржемәһе, Әхтәм Абушахманов",361,0,0 results found,,0.0,
"Наза Әхмәҙиева Рәнйемә миңә, олатай Нурия Ирсаева",359,0,0 results found,,0.0,
"Шәүлиә Зөлҡәрнәева Кило ярым, Ҡулъяулыҡ Миңзәлә Хәйруллина",358,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Аждаһаның алтын асҡысы,357,0,0 results found,,0.0,
Фәниҙә Исхаҡова Кеше күсермә Миңзәлә Хәйруллина,356,0,0 results found,,0.0,
Фәйзи Ғүмәров Олатай дипломат Тимур Муллабаев,355;70,0,0 results found,,0.0,
Фаҡил Мырҙаҡаев Юл сатында Илдар Ғүмәров,354,0,0 results found,,0.0,
Факил Мырҙаҡаев Аҙашҡан болан балаһы Илдар Ғүмәров,353,0,0 results found,,0.0,
Түләк Ғирфанов Фәйрүзә Нурия Ирсаева,352;310,0,0 results found,,0.0,
Тимерғәли Килмөхәмәтов Аҡбирҙе алмалары Автор,351,0,0 results found,,0.0,
Төхвәт Йәнәби Ҡыйыҡһыҙ өйҙәр Зәйни Иғдәүләтов,350,0,0 results found,,0.0,
Тимерғәле Килмөхәмәтов Һуңғы фронтовик Заһир Вәлитов,349,0,0 results found,,0.0,
Сара Сәфәрова Һөйөү яҙын тик бер көтәләр Наилә Ғәләүетдинова,348,0,0 results found,,0.0,
Йыһат Солтанов Ҡотлобикә Әхәт Мортазин,347;177;98,0,0 results found,,0.0,
Йәлил Басаков Көлгә ҡалған күңел Марат Рафиҡов,346;178,0,0 results found,,0.0,
Ғаян Лоҡманов Бесән еҫе Рәмилә Сәлимгәрәева,345,0,0 results found,,0.0,
Барый Ноғоманов Ҡар кешеһе Әхәт Мортазин,344,0,0 results found,,0.0,
Шәүҡәт Макулов Алтын балдаҡ Әлфиә Әхмәтова менән Ғәлимнур Бикбулатов,343,0,0 results found,,0.0,
Шакир Янбаев Һөйөнсөһөнә бүләк Автор,342;231,0,0 results found,,0.0,
Сабир Шәрипов Хыянат Светлана Хәкимова,341;85,0,0 results found,,0.0,
"Сәлимйән Бәҙретдинов Ҡоһор 1,2 өлөш Миңзәлә Хәйруллина",340,0,0 results found,,0.0,
"Риф Мифтахов Ҡаза ике, үлем бер Әхәт Мортазин",339,0,0 results found,,0.0,
Сара Сәфәрова Осратырға ине үҙҙәрен Ғәлимнур Бикбулатов менән Лира,338;247,0,0 results found,,0.0,
Самат Мөхәмәтйәнов Исемем Алаҡай 1 се өлөш Хәмит Яруллин,337,0,0 results found,,0.0,
"Самат Мөхәмәтйәнов Исемем Алаҡай 2, 3 өлөш Хәмит Яруллин",336,0,0 results found,,0.0,
Тауҙар,335,8,8 results found in 1ms,"Тауҙарым, далаларым",0.48,"Тауҙарым, далаларым — Рәшит Шакүр (https://kitaptar.bashkort.org/book/107) | Тел хикмәттәре — Әкрәм Бейеш (https://kitaptar.bashkort.org/book/29) | Тел хикмәттәре — Әкрәм Бейеш (https://kitaptar.bashkort.org/book/12) | Тел хикмәттәре — Кафедра истории и культурологи УГНТУ (https://kitaptar.bashkort.org/book/740) | Башҡорт теленең академик һүҙлеге III том — тарих, тел һәм әҙәбиәт институты (https://kitaptar.bashkort.org/book/38) | Башҡорт теленең академик һүҙлеге IV том — Тарих, тел һәм әҙәбиәт институты (https://kitaptar.bashkort.org/book/39) | Башҡорт теленең академик һүҙлеге II том — Тарих, тел һәм әҙәбиәт институты (https://kitaptar.bashkort.org/book/37) | Башҡорт теленең академик һүҙлеге — Тарих, тел һәм әҙәбиәт институты (https://kitaptar.bashkort.org/book/24)"
Нажиә Игеҙйәнова Рәнйеш Фирҙәт Ғәлиев,334,0,0 results found,,0.0,
Ева Лисина Бер телем икмәк Нурия Ирсаева менән Алһыу Бәхтиева,333,0,0 results found,,0.0,
Рәшит Солтангәрәйев Хамбал Олег Ханов,332,0,0 results found,,0.0,
Ринат Камалов Бәрәкәтле төбәк Хөрмәтулла Үтәшев,331,0,0 results found,,0.0,
Рәйсә Биҡҡолова Онотолмаҫ моң Роза Кәримова һәм Фидан Ғафаров,330,0,0 results found,,0.0,
Ғәйфулла Вәлиев Һарайғыр юлы Фәиз Вәхитов,329;192,0,0 results found,,0.0,
Шакир Янбаев Ҡуш ҡарағас Әхәт Мортазин,328;230,0,0 results found,,0.0,
Рәйсә Бикҡолова Йән тартмаһа Хәмит Яруллин менән Наилә Ғәләүетдинова,327,0,0 results found,,0.0,
Рәмил Дәүләтҡолов Ауҙағы суртан Хөрмәтулла Үтәшев,326,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 8 се өлөш Әхтәм Абушахманов,325,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 7 се өлөш Әхтәм Абушахманов,324,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 6 се өлөш Әхтәм Абушахманов,323,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 5 се өлөш Әхтәм Абушахманов,322,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 4 се өлөш Әхтәм Абушахманов,321,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 3 се өлөш Әхтәм Абушахманов,320,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 2 се өлөш Әхтәм Абушахманов,319,0,0 results found,,0.0,
Әхиәр Хәкимов Ҡарауан 1 се өлөш Әхтәм Абушахманов,318,0,0 results found,,0.0,
"Сулпан Иманғолов Ҡара ҡырау ҡырған затлы сәскәләр 1, 2 бүлек Наилә",317,0,0 results found,,0.0,
Сара Сәфәрова Бәхет хаҡына Илһөйәр Ғизетдинова менән Әхәт Мортазин,316,0,0 results found,,0.0,
Нурислам Шәйхулов Ҡаҙ бәпкәләре ҡара Илһөйәр Ғәзетдинова,315,0,0 results found,,0.0,
Гөлсөм Мостафина Елмерҙәк тотҡоно,314;69,0,0 results found,,0.0,
Миңлегөл Хисмәтуллина Бер һүҙ берәгәйле һүҙ Нәйлә Ғәләуетдинова,313;204,0,0 results found,,0.0,
Миңйыһан Хәлитова Ҡон Фирҙәт Ғәлиев,312;207,0,0 results found,,0.0,
Минйыһан Хәмитова Үс Фирҙәт Ғәлиев,311;206,0,0 results found,,0.0,
"Тимерғәле Килмөхәмәтов Хаҡлыҡ үлмәй 5, 6 сы өлөш Әхәт Мортазин",301,0,0 results found,,0.0,
"Тимерғәле Килмөхәмәтов Хаҡлыҡ үлмәй 3, 4 сы өлөш Әхәт Мортазин",300,0,0 results found,,0.0,
"Тимерғәле Килмөхәмәтов Хаҡлыҡ үлмәй 1, 2 сы өлөш Әхәт Мортазин",299,0,0 results found,,0.0,
"Хәйҙәр Тапаҡов Яралы аҡҡош Фирҙәт Ғәлиев, Әхәт Мортазин, Әхтәм Абушахманов",298,0,0 results found,,0.0,
Хәйҙәр Тапаҡов Офоҡтағы йондоҙ яҡтыһы Әхтәм Абушахманов,297,0,0 results found,,0.0,
Лариса Абдуллина Мәтрүшкәле сәй Светлана Хәкимова,296,0,0 results found,,0.0,
"Мансаф Ғиләжев Шәл Илһөйәр Ғизетдинова, Илдар Ғүмәров һәм Әхәт Мортазин",295;202,0,0 results found,,0.0,
"Әкрәм Бейешев Ил ғазабы 1,2 сы өлөш Заһир Вәлитов",294,0,0 results found,,0.0,
"Әкрәм Бейешев Ил ғазабы 3,4 се өлөш Заһир Вәлитов",293,0,0 results found,,0.0,
"Әкрәм Бейешев Ил ғазабы 5,6 сы өлөш Заһир Вәлитов",292,0,0 results found,,0.0,
Таңсулпан Ғарипова Ялан сейәһе Рәмзиә Хисамова,290,0,0 results found,,0.0,
Талха Ғиниәтуллин Әсә һәм бала 1 се өлөш Алһыу Бәхтиева,289,0,0 results found,,0.0,
Талха Ғиниәтуллин Әсә һәм бала 2 се өлөш Алһыу Бәхтиева,288,0,0 results found,,0.0,
Ринат Камалов Бәлә 1 се бүлек Заһир Вәлитов,286,0,0 results found,,0.0,
"Ринат Камалов Бәлә 2, 3 се бүлектәр Заһир Вәлитов",285,0,0 results found,,0.0,
"Ринат Камалов Бәлә 4, 5 се бүлектәр Заһир Вәлитов",284,0,0 results found,,0.0,
Әмир Әминев Ҡытайгород Фирҙәт Ғәлиев,283,0,0 results found,,0.0,
Динис Бүләков Ғүмерһеҙ йондоҙ Олег Ханов,282,0,0 results found,,0.0,
Суфиян Поварисов Беҙ фронттан ҡайтҡанда Фирҙәт Ғәлиев,281,0,0 results found,,0.0,
Әмир Әминев Бүре балалары хикәйәһе 1 се тапшырыу,277,0,0 results found,,0.0,
Әмир Әминев Бүре балалары хикәйәһе 2 се тапшырыу,276,0,0 results found,,0.0,
Әмир Әминев Бүре балалары хикәйәһе 3 сө тапшырыу,275,0,0 results found,,0.0,
Әмир Әминев Бүре балалары хикәйәһе 4 се тапшырыу,274,0,0 results found,,0.0,
Сәүиә Сираева,273,0,0 results found,,0.0,
Неизвестен Мөхәббәт өсөн яза Ринат Камалов,272,0,0 results found,,0.0,
Ф Акбулатова АҘАШЫУ Хикәйә А Бәхтиева,270,0,0 results found,,0.0,
Наилә Ғәләүетдинова менән Ғәлимнур Бикбулатов Ғәлим Хисамов Ғүмер,269,0,0 results found,,0.0,
Әсҡәт Мортазин Миңә таян Илшат Йомағолов,268,0,0 results found,,0.0,
Әкрәм Вәли Рәүфә Нурия Ирсаева,267;179,0,0 results found,,0.0,
Гөлсирә Ғиззәтуллина Туғыҙынсы рәттәге урын Салауат Ишмөхәмәтов,266;165,0,0 results found,,0.0,
Ноғман Мусин Әлфирә килен Әхәт Мортазин,265;194,0,0 results found,,0.0,
Хәмит Яруллин,264,0,0 results found,,0.0,
Неизвестный артист Әхиәр Хәкимов Дауылдан ҡотолоу юҡ,263,0,0 results found,,0.0,
Неизвестен Әхиәр Хәкимов Дауылдан ҡотолоу юҡ,262;261,0,0 results found,,0.0,
Гөлфиә Юнысова Тыуған ер Автор,260,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Тере таш Рәмилә Сәлимгәрәева,259;237;131,0,0 results found,,0.0,
Нажия Игеҙйәнова Баһа Лира Фәйзуллина,258,0,0 results found,,0.0,
Руфина Хәсәнова Икәү Нурия Ирсаева,257,0,0 results found,,0.0,
Әсхәт Мортазин Ләйсән Лира Фәйзуллина,256,0,0 results found,,0.0,
Мәрйәм Бураҡаева Аҡтүш хикәйә Илшат Йомағолов,255;91,0,0 results found,,0.0,
Денис Бүләков Яралы китап Әхәт Мортазин,253,0,0 results found,,0.0,
Ғаян Лоҡманов Минең ҡәйнәм Ғәлимнур Бикбулатов,252,0,0 results found,,0.0,
Мөхтәр Сәғитов Урман ҡуйынында Әхәт Мортазин,249,0,0 results found,,0.0,
Рәсүл Сәғитов Ҡарғыш Хөрмәтулла Үтәшев,248,0,0 results found,,0.0,
Зыя Әхмәтов Һуҡмаҡтар Илшат Йомағолов,246;183,0,0 results found,,0.0,
Сәлимйән Бәҙретдинов Ҡәйнә менән кейәү Рәмзил Сәлмәнов,245,0,0 results found,,0.0,
Шамил Хажиәхмәтов Йәнтөйәккә юл хикәйәһе 1 се өлөш Рәмзил Сәлмәнов,244,0,0 results found,,0.0,
Шамил Хажиәхмәтов Йәнтөйәккә юл хикәйәһе 2 се өлөш Рәмзил Сәлмәнов,243,0,0 results found,,0.0,
Рәйлә Сабитова Өлкәнәйеү 1 се тапшырыу Алһыу Бәхтиева,242;7,0,0 results found,,0.0,
Рәйлә Сабитова Өлкәнәйеү 2 се тапшырыу Алһыу Бәхтиева,241;6,0,0 results found,,0.0,
Рәйлә Сабитова Өлкәнәйеү 3 сө тапшырыу Алһыу Бәхтиева,240;5,0,0 results found,,0.0,
Мәрйәм Күсмәева Сания апай Илсөйәр Ғәзетдинова,239;215,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Һыңар алҡа Хөрмәт Үтәшев,238,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Тоҙло тормош Рәмилә Сәлимгәрәева,236,0,0 results found,,0.0,
Фәрзәнә Аҡбулатова Янған аттар Автор,235,0,0 results found,,0.0,
Финә Латыпова Тормош ҡуласаһы 1,234,0,0 results found,,0.0,
"Яныбай Хамматов Төнъяҡ амурҙары 5,6,7 се өлөш Хөрмәт Үтәшев",233,0,0 results found,,0.0,
Яныбай Хамматов Арҡайым Хәмит Яруллин,232,0,0 results found,,0.0,
Шакир Янбаев Кәкүк саҡырып туҡтағас Әхәт Мортазин,229,0,0 results found,,0.0,
Шакир Янбаев Боҙло тамуҡ Әхәт Мортазин,228,0,0 results found,,0.0,
Хәйҙәр Тапаҡов Һаҙағай балҡышы Фирҙәт Ғәлиев,227,0,0 results found,,0.0,
